"country","name","birth_date","gender","disciplines"
"Armenia","ALEKSANYAN Artur","1991-10-21","Male","'Wrestling'"
"Armenia","AMOYAN Malkhas","1999-01-22","Male","'Wrestling'"
"Armenia","GALSTYAN Slavik","1996-12-21","Male","'Wrestling'"
"Armenia","HARUTYUNYAN Arsen","1999-11-22","Male","'Wrestling'"
"Armenia","TEVANYAN Vazgen","1999-10-27","Male","'Wrestling'"
"Colombia","ARENAS Lorena","1993-09-17","Female","'Athletics'"
"Jamaica","McKENZIE Ashley","1989-07-17","Male","'Judo'"
"Gambia","BASS BITTAYE Gina Mariam","1995-05-03","Female","'Athletics'"
"Gambia","CAMARA Ebrahima","1996-09-18","Male","'Athletics'"
"Mexico","RUEDA SANTOS Lizeth","1994-03-07","Female","'Triathlon'"
"Argentina","WADE Tobias","1999-08-06","Male","'Rugby Sevens'"
"Mexico","TAPIA VIDAL Rosa Maria","1997-08-27","Female","'Triathlon'"
"Mexico","GRAJALES Crisanto","1987-05-06","Male","'Triathlon'"
"Comoros","MAAROUFOU Hachim","1997-02-13","Male","'Athletics'"
"Comoros","SAADI Maesha","2007-01-16","Female","'Swimming'"
"Mexico","DIOSDADO Nuria","1990-08-22","Female","'Artistic Swimming'"
"Mexico","JIMENEZ Joana","1993-08-19","Female","'Artistic Swimming'"
"Mexico","SOBRINO Jessica","1994-05-26","Female","'Artistic Swimming'"
"Mexico","ALFEREZ Regina","1997-12-01","Female","'Artistic Swimming'"
"Mexico","ARELLANO Fernanda","2002-02-28","Female","'Artistic Swimming'"
"Mexico","TOSCANO Pamela","2000-01-13","Female","'Artistic Swimming'"
"Mexico","GONZALEZ Itzamary","2003-11-14","Female","'Artistic Swimming'"
"Mexico","RODRIGUEZ Samanta","1994-12-05","Female","'Artistic Swimming'"
"Mexico","INZUNZA Glenda","2000-03-12","Female","'Artistic Swimming'"
"Iraq","SEHEN Sajjad","1996-03-08","Male","'Judo'"
"Iraq","RUBAIAWI Ali Ammar Yusur","2004-08-02","Male","'Weightlifting'"
"Djibouti","ISMAIL Mohamed","1997-01-01","Male","'Athletics'"
"Djibouti","HASSAN Ibrahim","1997-01-01","Male","'Athletics'"
"Djibouti","WAISS Abdi","1996-07-03","Male","'Athletics'"
"Djibouti","HASSAN NOUR Samiyah","1999-12-05","Female","'Athletics'"
"Djibouti","HOUSSEIN BARKAT Houmed","2004-04-04","Male","'Swimming'"
"Comoros","BARAT Andy","1997-11-29","Male","'Canoe Slalom'"
"Mexico","MARTINEZ RAMIREZ Miguel Angel","2001-03-17","Male","'Boxing'"
"Mexico","VERDE ALVAREZ Marco Alonso","2002-02-11","Male","'Boxing'"
"Mexico","GONZALEZ Alegna","1999-01-02","Female","'Athletics'"
"Mexico","LOPEZ Jesus Tonatiu","1997-08-02","Male","'Athletics'"
"Mexico","PORTILLO Erick","2000-10-05","Male","'Athletics'"
"Mexico","MUNOZ Uziel","1995-09-08","Male","'Athletics'"
