"event","sport","sport_url"
"Men's Individual","Archery","https://olympics.com/en/paris-2024/sports/archery"
"Women's Individual","Archery","https://olympics.com/en/paris-2024/sports/archery"
"Men's Team","Archery","https://olympics.com/en/paris-2024/sports/archery"
"Women's Team","Archery","https://olympics.com/en/paris-2024/sports/archery"
"Mixed Team","Archery","https://olympics.com/en/paris-2024/sports/archery"
"Men's Team","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's All-Around","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Floor Exercise","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Pommel Horse","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Rings","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Vault","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Parallel Bars","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Men's Horizontal Bar","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's Team","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's All-Around","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's Vault","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's Uneven Bars","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's Balance Beam","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Women's Floor Exercise","Artistic Gymnastics","https://olympics.com/en/paris-2024/sports/artistic-gymnastics"
"Duet","Artistic Swimming","https://olympics.com/en/paris-2024/sports/artistic-swimming"
"Team","Artistic Swimming","https://olympics.com/en/paris-2024/sports/artistic-swimming"
"Men's 100m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 200m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 400m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 800m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 1500m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 5000m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 10,000m","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's Marathon","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 3000m Steeplechase","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 110m Hurdles","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's 400m Hurdles","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's High Jump","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's Pole Vault","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
"Men's Long Jump","Athletics","https://olympics.com/en/paris-2024/sports/athletics"
