"name","medal_type","gender","country","event","isteam","url_event"
"MONNA Paolo","Bronze Medal","Male","Italy","10m Air Pistol Men",False,"/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--"
"XIE Yu","Gold Medal","Male","China","10m Air Pistol Men",False,"/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--"
"MALDINI Federico Nilo","Silver Medal","Male","Italy","10m Air Pistol Men",False,"/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--"
"BHAKER Manu","Bronze Medal","Female","India","10m Air Pistol Women",False,"/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--"
"OH Ye Jin","Gold Medal","Female","Korea","10m Air Pistol Women",False,"/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--"
"KIM Yeji","Silver Medal","Female","Korea","10m Air Pistol Women",False,"/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--"
"MARICIC Miran","Bronze Medal","Male","Croatia","10m Air Rifle Men",False,"/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--"
"SHENG Lihao","Gold Medal","Male","China","10m Air Rifle Men",False,"/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--"
"LINDGREN Victor","Silver Medal","Male","Sweden","10m Air Rifle Men",False,"/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--"
"GOGNIAT Audrey","Bronze Medal","Female","Switzerland","10m Air Rifle Women",False,"/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--"
"BAN Hyojin","Gold Medal","Female","Korea","10m Air Rifle Women",False,"/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--"
"HUANG Yuting","Silver Medal","Female","China","10m Air Rifle Women",False,"/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--"
"MAJOR Veronika","Bronze Medal","Female","Hungary","25m Pistol Women",False,"/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--"
"YANG Jiin","Gold Medal","Female","Korea","25m Pistol Women",False,"/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--"
"JEDRZEJEWSKI Camille","Silver Medal","Female","France","25m Pistol Women",False,"/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--"
"WANG Xinjie","Bronze Medal","Male","China","25m Rapid Fire Pistol Men",False,"/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--"
"LI Yuehong","Gold Medal","Male","China","25m Rapid Fire Pistol Men",False,"/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--"
"CHO Yeongjae","Silver Medal","Male","Korea","25m Rapid Fire Pistol Men",False,"/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--"
"KUSALE Swapnil","Bronze Medal","Male","India","50m Rifle 3 Positions Men",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--"
"LIU Yukun","Gold Medal","Male","China","50m Rifle 3 Positions Men",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--"
"KULISH Serhiy","Silver Medal","Male","Ukraine","50m Rifle 3 Positions Men",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--"
"ZHANG Qiongyue","Bronze Medal","Female","China","50m Rifle 3 Positions Women",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--"
"LEONE Chiara","Gold Medal","Female","Switzerland","50m Rifle 3 Positions Women",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--"
"MADDALENA Sagen","Silver Medal","Female","United States","50m Rifle 3 Positions Women",False,"/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--"
"VICTOR","Bronze Medal","Male","United States","B-Boys",False,"/en/paris-2024/results/breaking/b-boys/fnl-000200--"
"PHIL WIZARD","Gold Medal","Male","Canada","B-Boys",False,"/en/paris-2024/results/breaking/b-boys/fnl-000100--"
"DANY DANN","Silver Medal","Male","France","B-Boys",False,"/en/paris-2024/results/breaking/b-boys/fnl-000100--"
"671","Bronze Medal","Female","China","B-Girls",False,"/en/paris-2024/results/breaking/b-girls/fnl-000200--"
"AMI","Gold Medal","Female","Japan","B-Girls",False,"/en/paris-2024/results/breaking/b-girls/fnl-000100--"
"NICKA","Silver Medal","Female","Lithuania","B-Girls",False,"/en/paris-2024/results/breaking/b-girls/fnl-000100--"
"FRY Charlotte","Bronze Medal","Female","Great Britain","Dressage Individual",False,"/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--"
"von BREDOW-WERNDL Jessica","Gold Medal","Female","Germany","Dressage Individual",False,"/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--"
"WERTH Isabell","Silver Medal","Female","Germany","Dressage Individual",False,"/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--"
